title,date,body,original_link,name
Spring 2002,2001/02,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">Spring 2002</h1>
 <div class=""bodyCopy""> 
  <u>
   January 29 
  </u> 
  <br />James Foster - Computer Science
  <br />
  <a href=""http://www.uidaho.edu/sci/chem/faculty/jeanneshreeve"" title=""Jean'ne Shreeve"">Jean'ne Shreeve </a>-&nbsp;Chemistry
  <br />
  <a href=""http://www.uidaho.edu/sci/biology/faculty/hollywichman"" title=""Holly Wichman"">Holly Wichman</a>&nbsp;- Biology 
  <br />&quot;Doing Science in the University: Practical Considerations&quot; 
  <br />
  <br />
  <u>
   February 5&nbsp;
  </u>
  <br />
  <a href=""http://www.uidaho.edu/class/history/faculty-staff/ellen-kittell"" title=""ellen-kittell"">Ellen Kittell</a> - History 
  <br />&quot;From Archive to Printed Page&quot;
  <br />
  <br />
  <u>
   February 12&nbsp;
  </u>
  <br />Colleen Taugher - Art 
  <br />&quot;Can We Pull the Genie out of Genius? distinguishing between myths, madness and methods in artists' studios&quot;
  <br />
  <br />
  <u>
   March 5&nbsp;
  </u>
  <br />Ed Krumpe - Resource, Recreation, &amp; Tourism 
  <br />&quot;Human Interaction with Wildlands: Separating the Reality from the Myth&quot;
  <br />
  <br />
  <u>
   March 12 
  </u>
  <br />Ghazi Ghazanfar - Economics
  <br />&quot;The Future of Social Sciences: Some New Issues&quot; 
  <br />
  <br />
  <u>
   March 26 
   <br />
  </u>Louis Perraud - Classical Studies 
  <br />&quot;Erasmus Writes for the Classroom&quot; 
  <br />
  <br />
  <u>
   April 9
  </u>&nbsp;
  <br />John Milhelich - Sociology, Anthropology, &amp; Justice Studies
  <br />&quot;How Ought We Live? Evaluating the Question and Pursuing the Answers&quot;
  <br />
  <br />
  <u>
   April 16
  </u>
  <br />
  <a href=""http://www.uidaho.edu/class/history/faculty-staff/dale-graden"" title=""dale-graden"">Dale Graden</a>&nbsp;- History &amp; Latin American Studies 
  <br />&quot;Pacifists, Revolutionaries and Terrorists: The Rocky Road of Comparative History&quot;
  <br />
  <br />
  <u>
   April 23 
  </u>
  <br />JD Wulfhorst - Rural Sociology&nbsp;&amp; CNR 
  <br />Julia Parker - Counseling &amp; School Psychology
  <br />&quot;Would the Real Forest Stewards Please Stand up?&quot; April 30 &quot;Multicultural Ethical Dilemmas in Counseling&quot; Jerry Fischer&nbsp;
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2002,spring2002
Spring 2003,2002/03,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">Spring 2003</h1>
 <div class=""bodyCopy""> 
  <u>
   January 28 
   <br />
  </u>&quot;Interdisciplinary Research at the University of Idaho&quot; 
  <br />Charles R Hatch - Research &amp; Graduate Studies 
  <br />
  <br />
  <u>
   February 4 
   <br />
  </u>&quot;Crisis in the Public Realm&quot; 
  <br />Nels Reese - Architecture 
  <br />
  <br />
  <u>
   February 11
   <br />
  </u>&quot;Villa Bitricci Viva Las Vegas&quot;&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/caa/artdesign/faculty/davidgiese"" title=""David Giese"">David Giese</a> - Art 
  <br />
  <br />
  <u>
   March 4 
   <br />
  </u>&quot;Directing Nikolai Gogol's Class Russian Satire in Moscow -- (Idaho!)&quot; 
  <br />Nike Imoru - Theatre Arts 
  <br />
  <br />
  <u>
   March 11 
   <br />
  </u>&quot;Preserving Our Jazz Heritage: The International Jazz Collections&quot; 
  <br />Lewis Ricci - International Jazz Collections 
  <br />
  <br />
  <u>
   March 25 
   <br />
  </u>&quot;Conceptualizing Time in Spatial Terms (or Not)&quot;&nbsp;
  <br />Kurt Queller - English 
  <br />
  <br />
  <u>
   April 1
  </u>
  <br />&quot;My Three Decades of Scholarly Activities at UI - From Environmental Studies to Nanomaterials Research&quot;&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/sci/chem/faculty/chienwai"" title=""Chien Wai"">Chien Wai</a> - Chemistry 
  <br />
  <br />
  <u>
   April 8 
  </u>
  <br />&quot;Why General Education and What Can (or Can't) We Do About It.&quot; 
  <br />Bill Voxman - Core/Mathematics 
  <br />
  <br />
  <u>
   April 15 
   <br />
  </u>&quot;Autonomous Vehicles&quot; 
  <br />Dean Edwards - Mechanical Engineering
  <br />Joe Feeley &amp;&nbsp;
  <a href=""http://www.uidaho.edu/engr/ece/faculty/wall"" title=""Richard Wall"">Richard Wall</a> - Electrical Engineering 
  <br />
  <br />
  <u>
   April 22 
  </u>
  <br />&quot;How to Kill Bacteria in 100 Simple Steps&quot; 
  <br />Ken Bayles - MMBB 
  <br />
  <br />April 29 
  <br />&quot;New Challenges/Developments in Investment Analysis&quot;&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/cbe/business/marioreyes"" title=""Mario Reyes"">Mario Reyes</a> - Business 
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2003,spring2003
Visual Culture and Culture Studies,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle ""> &quot;Visual Culture and Culture Studies&quot;</h1>
 <div class=""bodyCopy""> 
  <u>
   September 21
   <br />
  </u>Ivan Castaneda - Art &amp; Design&nbsp; 
  <br />
  <br />Abstract: Since its beginning in Britain in the 1950's, the field of Cultural Studies has in many ways defined what a possible interdisciplinary discipline might be. Unfortunately, the project of cultural studies has been splintered and diluted in many of its manifestations in American academic institutions. Visual Culture, a relatively new and still burgeoning discipline, has possibly (or could possibly) embrace and 
  <br />disseminate many of cultural studies' most important contributions as an interdisciplinary field. I will outline and discuss the intersections between cultural studies and visual culture while raising some possible future contributions of the latter in terms of some ofthe most important cultural questions in our world today. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/castaneda,castaneda
Fall 2004,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">Fall 2004</h1>
 <div class=""bodyCopy""> 
  <u>
   September 7 
   <br />
  </u> 
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/geist"" title=""&quot;Probing the Earth’s Interior with Gal&aacute;pagos Volcanoes&quot;"">&quot;Probing the Earth’s Interior with Gal&aacute;pagos Volcanoes&quot;</a> 
  <br />
  <a href=""http://www.uidaho.edu/sci/geology/faculty/dennisgeist"" title=""Dennis Geist"">Dennis Geist</a> - Geology 
  <br />
  <br />September 14 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/laskowski"" title=""&quot;Promoting Biomedical Research in Idaho&quot;"">&quot;Promoting Biomedical Research in Idaho&quot;</a>
  <br />Mike Laskowski - Biology &amp; WWAMI 
  <br />
  <br />September 21&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/castaneda"" title="" &quot;Visual Culture and Culture Studies&quot;"">&quot;Visual Culture and Culture Studies&quot;<br /></a>Ivan Castaneda - Art &amp; Design 
  <br />
  <br />September 28 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/greib"" title=""&quot;Financial Engineering: The Process of Measuring and Controlling Risk&quot;"">&quot;Financial Engineering: The Process of Measuring and Controlling Risk&quot;<br /></a>
  <a href=""http://www.uidaho.edu/cbe/business/terrancegrieb"" title=""Terrance Grieb"">Terry Grieb</a> - Business &amp; Economics 
  <br />
  <br />October 5&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/vanderwall"" title=""&quot;Equine Cloning: Past, Present and Future&quot;"">&quot;Equine Cloning: Past, Present and Future&quot;</a>
  <br />Dirk Vanderwall - Animal and Veterinary Science 
  <br />
  <br />October 12 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/nelson"" title=""&quot;Thelma and Louise meet the Hilton sisters at the court of Louis XIV: Editing the Memoirs of Hortense and Marie Mancini&quot; "">&quot;Thelma and Louise meet the Hilton sisters at the court of Louis XIV: Editing the Memoirs of Hortense and Marie Mancini&quot;</a>
  <br />
  <a href=""http://www.uidaho.edu/class/mlc/sarahnelson"" title=""Sarah Nelson"">Sarah Nelson</a> - Foreign Languages and Literatures 
  <br />
  <br />October 19
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/natale"" title=""&quot;A Periodic Table of the Moles: Building Bridges to Native American Students&quot;"">&quot;A Periodic Table of the Moles: Building Bridges to Native American Students&quot;</a>&nbsp;
  <br />Nick Natale - Chemistry 
  <br />
  <br />October 26&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/waits"" title=""&quot;The Benefits and Challenges of Launching a New Interdisciplinary Ph.D. Program&quot;"">&quot;The Benefits and Challenges of Launching a New Interdisciplinary Ph.D. Program&quot;</a>&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/cnr/fishwild/lisettewaits"" title=""Lisette Waits"">Lisette Waits</a> - Wildlife Resources 
  <br />
  <br />November 2&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/vonbraun"" title=""&quot;Turning Your World Upside Down: A Sabbatical Adventure&quot;"">&quot;Turning your World Upside Down: A Sabbatical Adventure&quot;</a> 
  <br />Margrit von Braun - College of Graduate Studies 
  <br />
  <br />November 9 
  <br />&quot;A Geographer’s View of the American West and the World Beyond&quot;&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/sci/geography/faculty/gundarsrudzitis"" title=""Gundars Rudzitis"">Gundars Rudzitis</a> - Geography 
  <br />
  <br />November 16 
  <br />&quot;Fencing as Life&quot;&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/cbe/business/normanpendegraft"" title=""Norman Pendegraft"">Norman Pendegraft</a> - Business &amp; Economics 
  <br />
  <br />November 30&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/wrigley"" title=""&quot;What’s a Poem Worth?&quot; "">&quot;What’s a Poem Worth?&quot;</a>&nbsp;
  <br />Robert Wrigley - English 
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004,fall2004
Probing the Earth’s Interior with Galápagos Volcanoes,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Probing the Earth’s Interior with Gal&aacute;pagos Volcanoes&quot;</h1>
 <div class=""bodyCopy"">
   September 7&nbsp;
  <br />Dennis Geist - Geology 
  <br />
  <br />Abstract: The Galapagos Islands are best known for their biota, but they also form one of nature's premier natural laboratories for studying the earth's deep interior. The islands are situated adjacent to a giant spreading crack that forms a boundary between two of the earth's tectonic plates, where a characteristic type of magma is produced from the shallow mantle. In contrast, the magmas that have constructed the Galapagos Islands are thought to be derived from a plume upwelling from the earth's deep mantle, and they have a different characteristic composition. The compositions of the erupted lavas can therefore be used as a tracer, to show extensive mixing between the mantle plume and the upper part of the earth's mantle. Once magma is produced, it ascends builds up beneath the volcanoes, causing their surfaces to bulge. We use precision GPS measurements that are telemetered to the University of Idaho to measure this swelling. Sierra Negra volcano is currently (as of September 1) expanding at 77 cm/y, which we attribute to over 10 million cubic meters of magma pushing up from a depth of only 2 km. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/geist,geist
Financial Engineering: The Process of Measuring and Controlling Risk,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Financial Engineering: The Process of Measuring and Controlling Risk&quot;</h1>
 <div class=""bodyCopy""> 
  <u>
   September 28
  </u>&nbsp; 
  <br />Terry Grieb - Business &amp; Economics 
  <br />
  <br />Abstract: Risk management is at the core of successful business operations. This discussion will explore the current methods for identifying risk exposures and implementing strategies to control market risk. A specific discussion of measuring and hedging interest rate and insolvency risk for a financial institution will be used to demonstrate current theory and practice in this area, and to develop the foundation for ongoing research. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/greib,greib
Promoting Biomedical Research in Idaho,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Promoting Biomedical Research in Idaho&quot;</h1>
 <div class=""bodyCopy"">
   September 14&nbsp;
  <br />Mike Laskowski -Biology &amp; WWAMI 
  <br />
  <br />Abstract: Three years ago the state of Idaho was offered a unique opportunity to enhance its biomedical research. The National Institutes of Health (NIH) requested proposals to build a statewide research network to increase the number of grant awards in states like Idaho that traditionally receive a small share of research grants. Because of unprecedented cooperation between the three universities, UI, ISU and BSU, Idaho received $8.3 M in funding over three years. 
  <br />
  <br />Under the BRIN (Biomedical Research Infrastructure Network) Program, researchers, students and postdoctoral fellows realized improved research facilities, release time from teaching, start up costs and seed grants to improve the output of biomedical research. During this time Idaho doubled its NIH grant support, leading the nation in rate of growth. Building on this success we applied for and recently received $16M over five years to extend the research network to the other colleges and universities in the state. The long term goal of these programs is to create sustainable growth in research. That means technology transfer, jobs and a developing bioscience industrial base. Central to this mission is building a core strength in bioinformatics and a high speed telecommunications network that will surmount geographic barriers. Cooperation and collaboration are the operative terms that will be necessary if Idaho is to capitalize on this opportunity to promote future research in the state. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/laskowski,laskowski
A Periodic Table of the Moles: Building Bridges to Native American Students,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;A Periodic Table of the Moles: Building Bridges to Native American Students&quot;</h1>
 <div class=""bodyCopy""> 
  <u>
   October 19&nbsp;
  </u> 
  <br />Nick Natale - Chemistry 
  <br />
  <br />Abstract: The public image of chemistry is not so positive. What's the first word you associate with &quot;chemical&quot;? (usually: toxic). The American Chemical Society's (ACS) National Chemistry Week (NCW) was an idea invented by George Pimentel and implemented by Helen Free, to get the word out on the positive contributions of chemists and chemistry. For the last decade we have been involved with NCW, highlighting positive things that chemistry contributes. For example, one place chemistry is usually mentioned in a positive light is on the sports page, and our program &quot;The Chemistry of winning Teams&quot; reminded the general public that chemistry is involved in making protective sports equipment. 
  <br />
  <br />Native Americans are underrepresented in science and engineering. When we were planning our National Chemistry Week activities for 2001, we put some thought into how to include Native American students and teachers in our activities. Using a Tony Hillerman murder mystery novel as a lead reference, we developed a theme as a focus for our activities &quot;A Periodic Table of the Moles&quot;. The mole is the unit which chemists use to discuss molecules, and has also become the unofficial mascot of the ACS. The mole is also an animal in Native American creation stories. Southwest tribes have gained renown for their skill as sculptors, and small mole sculptures are available of numerous minerals, all of which have well known chemical compositions. 
  <br />
  <br />We've collected quite a few of these sculptures, and arranged them in an approximate periodic table to emphasize the chemical nature of materials, this is on permanent display in Renfrew Hall. We have involved HOIST students in our programs, and one of our students, Feather Broncheau, became the first Native American UI student to make a presentation at a National ACS Meeting. This year's NCW theme is health. We've worked with Solo Greene of the Nez Perce Environmental Restoration and Waste Management program, to chemically analyze one of the traditional herbal medicines. What I think is noteworthy is that we involved Nez Perce students Jacob Taylor and Trina Villalobos in the study. The long range goal is to mentor students to become teachers and role models. I'll show you lots of pictures of moles, and how a chemist goes about studying the chemical composition of an herbal medicine. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/natale,natale
Thelma and Louise meet the Hilton sisters at the court of Louis XIV: Editing the Memoirs of Hortense and Marie Mancini,2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Thelma and Louise meet the Hilton sisters at the court of Louis XIV: Editing the Memoirs of Hortense and Marie Mancini&quot; </h1>
 <div class=""bodyCopy""> 
  <u>
   October 12
  </u> 
  <br />Sarah Nelson - Foreign Languages and Literatures 
  <br />
  <br />Abstract: Since 1992, an important project of canon expansion has been underway, under the auspices of the University of Chicago Press and with considerable financial backing from the National Endowment for the Humanities. &quot;The Other Voice in Early Modern Europe&quot; is a series of primary source texts written predominantly by women in Italy, France, Spain, Germany, Holland, Belgium, the Scandinavian countries, Poland, and Russia between 1400 and 1750. The purpose of the series is to enlarge the canon of historical, literary, and philosophical authors and texts, by making available in inexpensive and easily accessible English editions, texts that had previously been untranslated and unavailable in modern editions, some existing only in manuscript. The volumes of the series are published simultaneously in hardcover and paperback; they are a boon to students of western culture in general, whether in school or out, although they are intended especially for assignment in college classrooms. 
  <br />
  <br />In my talk I will discuss my involvement with this project, which includes not only the publication of the texts in the &quot;Other Voice&quot; series but also an effort at integration of these texts into college and secondary curricula. Over the past several years one of the series editors, Albert Rabil, has been organizing NEH summer institutes on early modern women writers in Europe for college and high school teachers (college teachers in 2001 and 2003; high school in 2002 and 2004). In July 2003, I attended one of these institutes at the University of North Carolina in Chapel Hill; following on that experience, I was given the opportunity to translate and edit the texts for one of the projected volumes in the series, the memoirs of the sisters Hortense and Marie Mancini. After a ten-minute presentation of the &quot;Other Voice&quot; series and the related project of curricular development, I will devote the rest of my talk to a discussion of the Mancini sisters and the interest of their memoirs for modern readers. 
  <br />
  <br />Published in 1675 and 1677 respectively, the memoirs of Hortense and of Marie Mancini represent nearly the earliest examples in France of women’s accounts of their own lives, published under their own names and during their lifetimes. Furthermore, the lived experience that the two sisters recount conforms to no contemporary mold: nieces of the powerful Cardinal Mazarin and members of the court of Louis XIV, they fled their unhappy marriages and chose the unheard-of alternative of independent travel and a life on the road. In choosing to publish their memoirs, Hortense and Marie extend their acts of self-determination to the discursive realm. As both make clear at the start of their memoirs, they write in order to rehabilitate their reputations; in other words, by telling their own stories in print, they are reclaiming the right to define their public images themselves. Moreover, the publication of their personal stories is very much a strategic action with repercussions both within the circle of their own lives and beyond it, in the broader culture of their time. It is a maneuver in their drawn-out struggles with their husbands—indeed, Hortense’s text was actually entered as evidence, first by her side and later by her husband’s, in their legal battles; but because of their prominence, it is also a contribution to the public debate on marriage. The two memoirs offer a rare look at the negotiation of personal independence within the confines of early modern aristocratic women’s lives. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/nelson,nelson
"Equine Cloning: Past, Present and Future",2004/05,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Equine Cloning: Past, Present and Future&quot;</h1>
 <div class=""bodyCopy"">
   October 5&nbsp;
  <br />Dirk Vanderwall - Animal and Veterinary Science 
  <br />
  <br />Abstract: The ability to clone mammals using somatic cell nuclear transfer (e.g., Dolly the sheep) has been recognized as a scientific milestone, because it demonstrated that a fully differentiated somatic cell from the body can be genetically “reprogrammed” back to the undifferentiated state of a one-cell zygote (embryo), which can then initiate and undergo complete embryonic/fetal development resulting in the birth of an animal genetically identical to the original cell donor. Potential uses of equine cloning include: 1) preservation of genetics from individual animals that would otherwise not be able to reproduce such as geldings (castrated males), 2) preservation of genetic material of endangered and/or exotic species such as Przewalski’s horse and 3) because of the companion animal role that horses fill for some individuals, it is likely that some horse owners will have individual animals cloned for emotional fulfillment. Of these, cloning geldings to produce reproductively intact males for breeding purposes will likely be the first direct application of equine cloning. Although some breed associations (e.g., The Jockey Club, American Quarter Horse Association) do not presently allow the registration of cloned animals, for some equine sporting activities (dressage, show-jumping) breed registry status is irrelevant, which eliminates that regulatory impediment to the use of cloning technology. 
  <br />
  <br />2003 was a notable year for equine cloning. We reported the birth of three mule foals cloned from a fetal fibroblast cell line (Science 2003;301:1063) and Galli et al. (Nature 2003;424:635) reported the birth of a horse foal cloned from an adult fibroblast cell line. Despite the recent success of equine cloning, like other species, the efficiency of equine cloning is low; less than 3% of cloned embryos produced with our current cloning system result in offspring. Based on experience with other species, the primary problem contributing to the inefficiency of cloning is “cloned offspring syndrome”, which is characterized by a high incidence of embryonic, fetal and/or placental developmental abnormalities that result in extremely high rates of embryonic loss, abortion and stillbirths throughout gestation; and compromised neonatal health after birth. Cloned offspring syndrome has been especially problematic in cattle and sheep where problems are manifested throughout gestation and the neonatal period. The embryonic/fetal and/or placental developmental abnormalities that result in abortion, stillbirth or compromised neonatal health are thought to reflect incomplete or abnormal genetic reprogramming of the donor nucleus, specifically related to critically important imprinted genes. Future work in the area of equine cloning will be directed at understanding the factors that contribute to the current inefficiency of the cloning process, which clearly has relevance to the clinical (future) application of this emerging technology. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2004/vanderwall,vanderwall
